Username,Client Name,Admin,Educator,Email,Password,Student_Group
user1,Indian School of Business,FALSE,FALSE,user1@isb.edu,dialogue1,
user2,Indian School of Business,FALSE,FALSE,user2@isb.edu,dialogue1,
user3,Indian School of Business,FALSE,FALSE,user3@isb.edu,dialogue1,
user4,Indian School of Business,FALSE,FALSE,user4@isb.edu,dialogue1,
user5,Indian School of Business,FALSE,FALSE,user5@isb.edu,dialogue1,
user6,Indian School of Business,FALSE,FALSE,user6@isb.edu,dialogue1,
user7,Indian School of Business,FALSE,FALSE,user7@isb.edu,dialogue1,
user8,Indian School of Business,FALSE,FALSE,user8@isb.edu,dialogue1,
user9,Indian School of Business,FALSE,FALSE,user9@isb.edu,dialogue1,
user10,Indian School of Business,FALSE,FALSE,user10@isb.edu,dialogue1,
user11,Indian School of Business,FALSE,FALSE,user11@isb.edu,dialogue1,
user12,Indian School of Business,FALSE,FALSE,user12@isb.edu,dialogue1,
user13,Indian School of Business,FALSE,FALSE,user13@isb.edu,dialogue1,
user14,Indian School of Business,FALSE,FALSE,user14@isb.edu,dialogue1,
user15,Indian School of Business,FALSE,FALSE,user15@isb.edu,dialogue1,
user16,Indian School of Business,FALSE,FALSE,user16@isb.edu,dialogue1,
user17,Indian School of Business,FALSE,FALSE,user17@isb.edu,dialogue1,
user18,Indian School of Business,FALSE,FALSE,user18@isb.edu,dialogue1,
